0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,1535
15,1537
16,1539
17,1541
18,1543
19,1545
20,1560
21,1561
22,1562
23,2611
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,9884
31,9883
32,9885
33,10002
34,10004
35,10010
36,10067
37,10069
38,10071
39,10073
40,10075
41,10077
42,10079
43,10081
44,10083
45,10085
46,10087
47,10089
48,10091
49,10093
50,10095
51,10097
52,10099
53,10101
54,10147
55,10146
56,10148
57,10214
58,10216
59,10222
60,10224
